Release Date,Time,Actual,Forecast,Previous,%sup
"Nov 04, 2022 (Oct)",8:30,261000,200000,315000,31%
"Oct 07, 2022 (Sep)",8:30,263000,250000,315000,5%
"Sep 02, 2022 (Aug)",8:30,315000,300000,526000,5%
"Aug 05, 2022 (Jul)",8:30,528000,250000,398000,111%
"Jul 08, 2022 (Jun)",8:30,372000,268000,384000,39%
"Jun 03, 2022 (May)",8:30,390000,325000,436000,20%
"May 06, 2022 (Apr)",8:30,428000,391000,428000,9%
"Apr 01, 2022 (Mar)",8:30,431000,490000,750000,-12%
"Mar 04, 2022 (Feb)",9:30,678000,400000,481000,70%
"Feb 04, 2022 (Jan)",9:30,467000,150000,510000,211%
"Jan 07, 2022 (Dec)",9:30,199000,400000,249000,-50%
"Dec 03, 2021 (Nov)",9:30,210000,550000,546000,-62%
"Nov 05, 2021 (Oct)",8:30,531000,450000,312000,18%
"Oct 08, 2021 (Sep)",8:30,194000,500000,366000,-61%
"Sep 03, 2021 (Aug)",8:30,235000,750000,"1,053,000",-69%
"Aug 06, 2021 (Jul)",8:30,943000,870000,938000,8%
"Jul 02, 2021 (Jun)",8:30,850000,700000,583000,21%
"Jun 04, 2021 (May)",8:30,559000,650000,278000,-14%
"May 07, 2021 (Apr)",8:30,266000,978000,770000,-73%
"Apr 02, 2021 (Mar)",8:30,916000,647000,468000,42%
"Mar 05, 2021 (Feb)",9:30,379000,182000,166000,108%
"Feb 05, 2021 (Jan)",9:30,49000,50000,-227000,-2%
"Jan 08, 2021 (Dec)",9:30,-140000,71000,336000,-297%
"Dec 04, 2020 (Nov)",9:30,245000,469000,610000,-48%
"Nov 06, 2020 (Oct)",9:30,638000,600000,672000,6%
"Oct 02, 2020 (Sep)",9:30,661000,850000,"1,489,000",-22%
"Sep 04, 2020 (Aug)",9:30,"1,371,000","1,400,000","1,734,000",-2%
"Aug 07, 2020 (Jul)",9:30,"1,763,000","1,600,000","4,791,000",10%
"Jul 02, 2020 (Jun)",9:30,"4,800,000","3,000,000","2,699,000",60%
"Jun 05, 2020 (May)",9:30,"2,509,000","-8,000,000","-20,687,000",-131%
"May 08, 2020 (Apr)",9:30,"-20,500,000","-22,000,000",-870000,-7%
"Apr 03, 2020 (Mar)",9:30,-701000,-100000,275000,601%
"Mar 06, 2020 (Feb)",9:30,273000,175000,273000,56%
"Feb 07, 2020 (Jan)",9:30,225000,160000,147000,41%
"Jan 10, 2020 (Dec)",9:30,145000,164000,256000,-12%
"Dec 06, 2019 (Nov)",9:30,266000,186000,156000,43%
"Nov 01, 2019 (Oct)",8:30,128000,89000,180000,44%
"Oct 04, 2019 (Sep)",8:30,136000,140000,168000,-3%
"Sep 06, 2019 (Aug)",8:30,130000,160000,159000,-19%
"Aug 02, 2019 (Jul)",8:30,164000,164000,193000,0%
"Jul 05, 2019 (Jun)",8:30,224000,160000,72000,40%
"Jun 07, 2019 (May)",8:30,75000,185000,224000,-59%
"May 03, 2019 (Apr)",8:30,263000,181000,189000,45%
"Apr 05, 2019 (Mar)",8:30,196000,175000,33000,12%
"Mar 08, 2019 (Feb)",9:30,20000,181000,311000,-89%
"Feb 01, 2019 (Jan)",9:30,304000,165000,222000,84%
"Jan 04, 2019 (Dec)",9:30,312000,178000,176000,75%
"Dec 07, 2018 (Nov)",9:30,155000,200000,237000,-23%
"Nov 02, 2018 (Oct)",8:30,250000,193000,118000,30%
"Oct 05, 2018 (Sep)",8:30,134000,185000,270000,-28%
"Sep 07, 2018 (Aug)",8:30,201000,191000,147000,5%
"Aug 03, 2018 (Jul)",8:30,157000,193000,248000,-19%
"Jul 06, 2018 (Jun)",8:30,213000,200000,244000,6%
"Jun 01, 2018 (May)",8:30,223000,189000,159000,18%
"May 04, 2018 (Apr)",8:30,164000,189000,135000,-13%
"Apr 06, 2018 (Mar)",8:30,103000,193000,326000,-47%
"Mar 09, 2018 (Feb)",9:30,313000,200000,239000,57%
"Feb 02, 2018 (Jan)",9:30,200000,184000,160000,9%
"Jan 05, 2018 (Dec)",9:30,148000,190000,252000,-22%
"Dec 08, 2017 (Nov)",9:30,228000,200000,244000,14%
"Nov 03, 2017 (Oct)",8:30,261000,310000,18000,-16%
"Oct 06, 2017 (Sep)",8:30,-33000,90000,169000,-137%
"Sep 01, 2017 (Aug)",8:30,156000,180000,189000,-13%
"Aug 04, 2017 (Jul)",8:30,209000,183000,231000,14%
"Jul 07, 2017 (Jun)",8:30,222000,179000,152000,24%
"Jun 02, 2017 (May)",8:30,138000,185000,174000,-25%
"May 05, 2017 (Apr)",8:30,211000,185000,79000,14%
"Apr 07, 2017 (Mar)",8:30,98000,180000,219000,-46%
"Mar 10, 2017 (Feb)",9:30,235000,200000,238000,18%
"Feb 03, 2017 (Jan)",9:30,227000,175000,157000,30%
"Jan 06, 2017 (Dec)",9:30,156000,178000,204000,-12%
"Dec 02, 2016 (Nov)",9:30,178000,175000,142000,2%
"Nov 04, 2016 (Oct)",8:30,161000,175000,191000,-8%
"Oct 07, 2016 (Sep)",8:30,156000,175000,167000,-11%
"Sep 02, 2016 (Aug)",8:30,151000,180000,275000,-16%
"Aug 05, 2016 (Jul)",8:30,255000,180000,292000,42%
"Jul 08, 2016 (Jun)",8:30,287000,175000,11000,64%
"Jun 03, 2016 (May)",8:30,38000,164000,123000,-77%
"May 06, 2016 (Apr)",8:30,160000,202000,208000,-21%
"Apr 01, 2016 (Mar)",8:30,215000,205000,245000,5%
"Mar 04, 2016 (Feb)",9:30,242000,190000,172000,27%
"Feb 05, 2016 (Jan)",9:30,151000,190000,262000,-21%
"Jan 08, 2016 (Dec)",9:30,292000,200000,252000,46%
"Dec 04, 2015 (Nov)",9:30,211000,200000,298000,5%
"Nov 06, 2015 (Oct)",9:30,271000,180000,137000,51%
"Oct 02, 2015 (Sep)",8:30,142000,203000,136000,-30%
"Sep 04, 2015 (Aug)",8:30,173000,220000,245000,-21%
"Aug 07, 2015 (Jul)",8:30,215000,223000,231000,-4%
"Jul 02, 2015 (Jun)",8:30,223000,230000,254000,-3%
"Jun 05, 2015 (May)",8:30,280000,225000,221000,24%
"May 08, 2015 (Apr)",8:30,223000,224000,85000,0%
"Apr 03, 2015 (Mar)",8:30,126000,245000,264000,-49%
"Mar 06, 2015 (Feb)",9:30,295000,240000,239000,23%
"Feb 06, 2015 (Jan)",9:30,257000,234000,329000,10%
"Jan 09, 2015 (Dec)",9:30,252000,240000,353000,5%
"Dec 05, 2014 (Nov)",9:30,321000,225000,243000,43%
"Nov 07, 2014 (Oct)",9:30,214000,231000,256000,-7%
"Oct 03, 2014 (Sep)",8:30,248000,215000,180000,15%
"Sep 05, 2014",8:30,142000,225000,212000,-37%
"Aug 01, 2014",8:30,209000,233000,298000,-10%
"Jul 03, 2014",8:30,288000,212000,224000,36%
"Jun 06, 2014",8:30,217000,218000,282000,0%
"May 02, 2014",8:30,288000,210000,203000,37%
"Apr 04, 2014",8:30,192000,200000,197000,-4%
"Mar 07, 2014",9:30,175000,149000,129000,17%
"Feb 07, 2014",9:30,113000,185000,75000,-39%
"Jan 10, 2014",9:30,74000,196000,241000,-62%
"Dec 06, 2013",9:30,203000,180000,200000,13%
"Nov 08, 2013",9:30,204000,125000,163000,63%
"Oct 22, 2013",8:30,148000,180000,193000,-18%
"Sep 06, 2013",8:30,169000,180000,104000,-6%
"Aug 02, 2013",8:30,162000,184000,188000,-12%
"Jul 05, 2013",8:30,195000,165000,195000,18%
"Jun 07, 2013",8:30,175000,170000,149000,3%
"May 03, 2013",8:30,165000,145000,138000,14%
"Apr 05, 2013",8:30,88000,200000,268000,-56%
"Mar 08, 2013",9:30,236000,160000,119000,48%
"Feb 01, 2013",9:30,157000,160000,196000,-2%
"Jan 04, 2013",9:30,155000,150000,161000,3%
"Dec 07, 2012",9:30,146000,93000,138000,57%
"Nov 02, 2012",8:30,171000,125000,148000,37%
"Oct 05, 2012",8:30,114000,113000,142000,1%
"Sep 07, 2012",8:30,96000,125000,141000,-23%
"Aug 03, 2012",8:30,163000,100000,64000,63%
"Jul 06, 2012",8:30,80000,90000,77000,-11%
"Jun 01, 2012",8:30,69000,150000,77000,-54%
"May 04, 2012",8:30,115000,170000,154000,-32%
"Apr 06, 2012",8:30,120000,203000,240000,-41%
